F10,F11,F2,F3,F4,F5,F6,F7,F8,Current Victorian Liquor Licences for Metro & CBD as of 31/12/2020,F9
PORT PHILLIP CITY COUNCIL,C/O MELBOURNE CRICKET CLUB,BYO Permit,MELBOURNE LACROSSE CLUB,ALBERT GROUND QUEENS ROAD,MELBOURNE,3004,REBECCA HARVEY - EXECUTIVE MANAGER                 HOSPITALITY PO BOX 175,EAST MELBOURNE,31114276,8002
MELBOURNE CITY COUNCIL,SUI WAN CHAN,BYO Permit,NAM LOONG RESTAURANT,223 RUSSELL ST,MELBOURNE,3000,223 RUSSELL ST,MELBOURNE,31227574,3000
MELBOURNE CITY COUNCIL,AGNIHOTRI GAUTAM,BYO Permit,CLASSIC CURRY COMPANY,597 ELIZABETH STREET,MELBOURNE,3000,597 ELIZABETH STREET,MELBOURNE,31279733,3000
MELBOURNE CITY COUNCIL,MAMAK PTY LTD,BYO Permit,MAMAK,366 LONSDALE STREET,MELBOURNE,3000,366 LONSDALE STREET,MELBOURNE,31280792,3000
MELBOURNE CITY COUNCIL,T & D RISE PTY LTD,BYO Permit,SHANGHAI DRAGON DUMPLING RESTAURANT,163 RUSSELL STREET,MELBOURNE,3000,163 RUSSELL STREET,MELBOURNE,31280962,3000
MELBOURNE CITY COUNCIL,PHO DZUNG TAN DINH CITY PTY LTD,BYO Permit,PHO DZUNG TAN DINH CITY,234B RUSSELL STREET,MELBOURNE,3000,234B RUSSELL STREET,MELBOURNE,31283774,3000
MELBOURNE CITY COUNCIL,FRESHFIELDS NOMINEES PTY LTD,Late night (on-premises) Licence,THE ELEPHANT AND WHEELBARROW,94-96 BOURKE STREET,MELBOURNE,3000,"LEVEL 3, 410 LONSDALE STREET",MELBOURNE,31820039,3000
MELBOURNE CITY COUNCIL,BAR RINO PTY LTD,On-Premises Licence,BAR RINO,367 LITTLE BOURKE STREET,MELBOURNE,3000,361 LITTLE BOURKE STREET,MELBOURNE,31820110,3000
MELBOURNE CITY COUNCIL,SDADM PTY LTD,Late night (on-premises) Licence,BAR CARLO,20 MEYERS PLACE,MELBOURNE,3000,20 MEYERS PLACE,MELBOURNE,31820128,3000
MELBOURNE CITY COUNCIL,RED HUMMINGBIRD GROUP PTY LTD,Late night (on-premises) Licence,CLUB JANKARA,2ND FLOOR                                          59 BOURKE STREET,MELBOURNE,3000,PO BOX 125,BRUNSWICK WEST,31820209,3055
MELBOURNE CITY COUNCIL,SALECO PTY LTD,On-Premises Licence,IL SOLITO POSTO,SHOP 4                                             113 COLLINS STREET,MELBOURNE,3000,SHOP 4                                             113 COLLINS STREET,MELBOURNE,31820259,3000
MELBOURNE CITY COUNCIL,MELBOURNE HOSPITALITY GROUP PTY LTD,Late night (on-premises) Licence,SPEARMINT RHINO GENTLEMEN'S CLUB,14-20 KING STREET,MELBOURNE,3000,14-20 KING STREET,MELBOURNE,31820291,3000
MELBOURNE CITY COUNCIL,STARS ENTERTAINMENT AUST PTY LTD,Late night (on-premises) Licence,STARS KTV & LOUNGE,1ST-4TH FLOORS                                     186 BOURKE STREET,MELBOURNE,3000,1ST-4TH FLOORS                                     186 BOURKE STREET,MELBOURNE,31820306,3000
MELBOURNE CITY COUNCIL,THE FIDDLER PUB PTY LTD,Late night (on-premises) Licence,THE BOTTOM END PUB.DINER.DISCO.,BASEMENT AND GROUND FLOOR                          577 LITTLE COLLINS STREET,MELBOURNE,3000,577 LITTLE COLLINS STREET,MELBOURNE,31820322,3000
MELBOURNE CITY COUNCIL,PUNCH LANE PARTNERSHIP PTY LTD,Late night (on-premises) Licence,PUNCH LANE WINE BAR RESTAURANT,UNIT 6                                             43 LITTLE BOURKE STREET,MELBOURNE,3000,UNIT 6                                             43 LITTLE BOURKE STREET,MELBOURNE,31820348,3000
MELBOURNE CITY COUNCIL,THE CHENS PTY LTD,Late night (on-premises) Licence,THE CHENS PTY LTD,1ST FLOOR                                          217 RUSSELL STREET,MELBOURNE,3000,1ST FLOOR                                          217 RUSSELL STREET,MELBOURNE,31820445,3000
MELBOURNE CITY COUNCIL,LURAWEST PTY LTD,Late night (on-premises) Licence,ISLAND SOMEWHERE,213 FRANKLIN STREET,MELBOURNE,3000,"LEVEL 3 NORTH,                                     333 COLLINS STREET,",MELBOURNE,31820631,3000
MELBOURNE CITY COUNCIL,SEAMSTRESS HOLDINGS PTY LTD,On-Premises Licence,SEAMSTRESS RESTAURANT AND BAR,113 LONSDALE STREET,MELBOURNE,3000,113 LONSDALE STREET,MELBOURNE,31820649,3000
PORT PHILLIP CITY COUNCIL,ESTELLA HOUSE PTY LTD,On-Premises Licence,ESTELLA HOUSE,462 ST KILDA ROAD,MELBOURNE,3004,PO BOX 609,EAST MELBOURNE,31820720,8002
MELBOURNE CITY COUNCIL,41 BOURKE PTY LTD,Late night (on-premises) Licence,SPLEEN CENTRAL,41 BOURKE STREET,MELBOURNE,3000,41 BOURKE STREET,MELBOURNE CBD,31820754,3000
MELBOURNE CITY COUNCIL,HAMMINGTON PTY LTD,Late night (on-premises) Licence,HIGHLANDER BAR,11A HIGHLANDER LANE,MELBOURNE,3000,11A HIGHLANDER LANE,MELBOURNE,31820827,3000
MELBOURNE CITY COUNCIL,DEGRAVES ESPRESSO PTY LTD,On-Premises Licence,DEGRAVES ESPRESSO,23-25 DEGRAVES STREET,MELBOURNE,3000,23-25 DEGRAVES STREET,MELBOURNE,31821043,3000
MELBOURNE CITY COUNCIL,2K INVESTMENTS PTY LTD,Late night (on-premises) Licence,SKY LOUNGE KTV,FIRST FLOOR                                        163 RUSSELL STREET,MELBOURNE,3000,FIRST FLOOR                                        163 RUSSELL STREET,MELBOURNE,31821116,3000
MELBOURNE CITY COUNCIL,PRINCESS THEATRE PTY LTD,Late night (on-premises) Licence,THE REGENT THEATRE AND PLAZA BALLROOM,191 COLLINS STREET,MELBOURNE,3000,LEVEL 1                                            162 COLLINS STREET,MELBOURNE,31821182,3000
MELBOURNE CITY COUNCIL,WONDER BAR DESIGN PTY LTD,Late night (on-premises) Licence,THE LUWOW,212 LITTLE COLLINS STREET,MELBOURNE,3000,687 PARK STREET,Brunswick,31821417,3056
MELBOURNE CITY COUNCIL,RNRB GROUP PTY LTD,On-Premises Licence,SYRACUSE RESTAURANT/BAR,GROUND FLOOR                                       23 BANK PLACE,MELBOURNE,3000,GROUND FLOOR                                       23 BANK PLACE,MELBOURNE,31821661,3000
MELBOURNE CITY COUNCIL,AVC OPERATIONS PTY LTD,On-Premises Licence,TRINKET BAR,GROUND FLOOR & BASEMENT                            87 FLINDERS LANE,MELBOURNE,3000,LEVEL 3                                            616 ST KILDA ROAD,MELBOURNE,31821792,3004
MELBOURNE CITY COUNCIL,FELIX BAR PTY LTD,Late night (on-premises) Licence,GIN PALACE,BASEMENT                                           190 LITTLE COLLINS STREET,MELBOURNE,3000,10 RUSSELL PLACE,MELBOURNE,31821857,3000
MELBOURNE CITY COUNCIL,OZ STEAKHOUSE PTY LTD,Late night (on-premises) Licence,RICE PAPER VIETNAMESE RESTAURANT,GROUND FLOOR                                       245 SWANSTON STREET,MELBOURNE,3000,GROUND FLOOR                                       245 SWANSTON STREET,MELBOURNE,31822007,3000
MELBOURNE CITY COUNCIL,DROMSTIN PTY LTD,On-Premises Licence,HELL'S KITCHEN,20 CENTRE PLACE,MELBOURNE,3000,20 CENTRE PLACE,MELBOURNE,31822049,3000
MELBOURNE CITY COUNCIL,MARSHALL PAUL,Late night (on-premises) Licence,TROIKA BAR,106 LITTLE LONSDALE STREET,MELBOURNE,3000,106 LITTLE LONSDALE STREET,MELBOURNE,31822235,3000
MELBOURNE CITY COUNCIL,MULVIHILL TIMES PTY LTD,Late night (on-premises) Licence,THE IRISH TIMES,425-427 LITTLE COLLINS STREET,MELBOURNE,3000,425-427 LITTLE COLLINS STREET,MELBOURNE,31822382,3000
MELBOURNE CITY COUNCIL,POLEPOLE BAR PTY LTD,Late night (on-premises) Licence,POLEPOLE BAR,FIRST & SECOND FLOORS                              267 LITTLE COLLINS STREET,MELBOURNE,3000,FIRST & SECOND FLOORS                              267 LITTLE COLLINS STREET,MELBOURNE,31822489,3000
MELBOURNE CITY COUNCIL,189 QUEEN ST PTY LTD,On-Premises Licence,QUEEN STREET RESCUE,185-191 QUEEN STREET,MELBOURNE,3000,185-191 QUEEN STREET,MELBOURNE,31822510,3000
MELBOURNE CITY COUNCIL,S.C.U CO PTY LTD,Late night (on-premises) Licence,170 RUSSELL,170 RUSSELL STREET,MELBOURNE,3000,170 RUSSELL STREET,MELBOURNE,31822609,3000
MELBOURNE CITY COUNCIL,KCC HOLDING GROUP PTY LTD,Late night (on-premises) Licence,MIRANDA BAR AND LOUNGE,BASEMENT                                           313A FLINDERS LANE,MELBOURNE,3000,313A FLINDERS LANE,MELBOURNE,31822764,3000
MELBOURNE CITY COUNCIL,INFINITE CITIES PTY LTD,Late night (on-premises) Licence,STORYVILLE,1ST & 2ND FLOORS                                   185-187 LONSDALE STREET,MELBOURNE,3000,PO BOX 3795,CAROLINE SPRINGS,31822879,3023
MELBOURNE CITY COUNCIL,YI (AUST) PTY LTD,On-Premises Licence,CHINA CHILLI,207 LONSDALE STREET,MELBOURNE,3000,"SUITE 3602, LEVEL 36                               201 ELIZABETH STREET",SYDNEY NSW,31850076,2000
MELBOURNE CITY COUNCIL,RED HUMMINGBIRD GROUP PTY LTD,Late night (on-premises) Licence,JANKARA KARAOKE,"GND FLOOR, 300 RUSSELL STREET",MELBOURNE,3000,"GND FLOOR, 300 RUSSELL STREET",MELBOURNE,31850092,3000
MELBOURNE CITY COUNCIL,NEXT HOSPITALITY GROUP WINDSOR PTY LTD,Late night (on-premises) Licence,BAR BAMBI,BASEMENT                                           103-105 FLINDERS LANE,MELBOURNE,3000,PO BOX 70,RICHMOND,31850220,3121
MELBOURNE CITY COUNCIL,MADEWELL HOSPITALITY PTY LTD,Restaurant and cafe Licence,PHILIPPE,BASEMENT AUSTRAL HOUSE                             115-119 COLLINS ST,MELBOURNE,3000,BASEMENT AUSTRAL HOUSE                             115-119 COLLINS ST,MELBOURNE,31850246,3000
MELBOURNE CITY COUNCIL,PUBTEK (AUST) PTY LTD,On-Premises Licence,SAINT & ROGUE,582-584 LITTLE COLLINS STREET,MELBOURNE,3000,PO BOX 1429,LAUNCESTON TAS,31850254,7250
MELBOURNE CITY COUNCIL,CAPRICORNIA PTY LTD,General Licence,BATMAN'S HILL ON COLLINS,623 COLLINS STREET,MELBOURNE,3000,623 COLLINS STREET,MELBOURNE,31900766,3000
MELBOURNE CITY COUNCIL,PARADISE ENTERTAINMENT PTY LTD,Late night (general) Licence,PARADISE ENTERTAINMENT PTY LTD,BASEMENT                                           420 LONSDALE STREET,MELBOURNE,3000,47 CHURCH RD,DONCASTER,31902297,3108
MELBOURNE CITY COUNCIL,KORDISTER PTY LTD,Late night (general) Licence,EXFORD HOTEL,199 RUSSELL STREET,MELBOURNE,3000,113 QUEEN STREET,MELNOURNE,31905376,3000
MELBOURNE CITY COUNCIL,FRANCIS HOTEL PTY LTD,Late night (general) Licence,FRANCIS HOTEL,383 LONSDALE STREET,MELBOURNE,3000,"C/- STARPRO PTY LTD                                FACTORY 11, 35-41 WESTPOOL DRIVE",HALLAM,31905758,3803
MELBOURNE CITY COUNCIL,P & M CASTAN PTY LTD,General Licence,GOLDEN AGE HOTEL,287 KING STREET,MELBOURNE,3000,PO BOX 14116,MELBOURNE CITY MAIL CENTRE,31906128,8001
MELBOURNE CITY COUNCIL,APARO MANAGEMENT ENTERPRISES PTY LTD,Late night (general) Licence,DREAMS GENTLEMAN'S CLUB,1 ELIZABETH STREET,MELBOURNE,3000,1 ELIZABETH STREET,MELBOURNE,31907140,3000
MELBOURNE CITY COUNCIL,OPEN DOOR PUB CO. PTY LTD,Late night (general) Licence,IMPERIAL HOTEL,4 BOURKE STREET,MELBOURNE,3000,"AUSTRALIAN VENUE CO                                LEVEL 3, 616 ST KILDA ROAD",MELBOURNE,31907255,3004
MELBOURNE CITY COUNCIL,TORILL PTY LTD,Late night (general) Licence,KILKENNY INN HOTEL,576 - 590 LONSDALE ST,MELBOURNE,3000,PO BOX 3301,LAW COURTS,31907687,8010
MELBOURNE CITY COUNCIL,OPEN DOOR PUB CO. PTY LTD,Late night (general) Licence,THE CRAFTY SQUIRE,115-127 RUSSELL STREET,MELBOURNE,3000,"AUSTRALIAN VENUE CO                                LEVEL 3, 616 ST KILDA ROAD",MELBOURNE,31907700,3004
MELBOURNE CITY COUNCIL,OLD FASHIONED MELBOURNE PTY LTD,Late night (general) Licence,CAPTAIN MELVILLE,34 FRANKLIN STREET,MELBOURNE,3000,34 FRANKLIN STREET,MELBOURNE,31908374,3000
MELBOURNE CITY COUNCIL,YHA LTD,General Licence,YHA,562 FLINDERS STREET,MELBOURNE,3000,562 FLINDERS STREET,MELBOURNE,31908633,3000
MELBOURNE CITY COUNCIL,THRILLER PTY LTD,Late night (general) Licence,METROPOLITAN HOTEL,265 WILLIAM STREET,MELBOURNE,3000,PO BOX 18066 COLLINS STREET,EAST MELBOURNE,31908879,8003
MELBOURNE CITY COUNCIL,AUSTRALIAN LEISURE AND HOSPITALITY GROUP PTY LTD,Late night (general) Licence,YOUNG & JACKSONS HOTEL,1 SWANSTON STREET,MELBOURNE,3000,"LEVEL 2, 10 YARRA STREET",SOUTH YARRA,31910884,3141
MELBOURNE CITY COUNCIL,FIFTH GRANGE PTY LTD,Late night (general) Licence,CONNELL'S HOTEL,33 ELIZABETH STREET,MELBOURNE,3000,113 QUEEN STREET,MELNOURNE,31911440,3000
MELBOURNE CITY COUNCIL,OMA NOMINEES PTY LTD,General Licence,THE LAST JAR,616 ELIZABETH STREET,MELBOURNE,3000,616 ELIZABETH STREET,MELBOURNE,31912674,3000
MELBOURNE CITY COUNCIL,MIDTOWN HUSTLE PTY LTD,Late night (general) Licence,WATERSIDE HOTEL,508 FLINDERS STREET,MELBOURNE,3000,292 CHURCH STREET,RICHMOND,31915884,3121
MELBOURNE CITY COUNCIL,HOTEL WINDSOR HOLDINGS PTY LTD,Late night (general) Licence,THE WINDSOR,103-115 SPRING STREET,MELBOURNE,3000,103-115 SPRING STREET,MELBOURNE,31916204,3000
MELBOURNE CITY COUNCIL,DYMIK PTY LTD,General Licence,YE OLDE MITRE TAVERN HOTEL,5 BANK PLACE,MELBOURNE,3000,5 BANK PLACE,MELBOURNE,31916432,3000
MELBOURNE CITY COUNCIL,RED ROCK LEISURE HOTELS PTY LTD,Late night (general) Licence,THE TURF ACCOUNTANTS,131-141 QUEEN STREET,MELBOURNE,3000,131-141 QUEEN STREET,MELBOURNE,31916911,3000
MELBOURNE CITY COUNCIL,URBAN PURVEYOR GROUP PTY LTD,Late night (general) Licence,ALFRED PLACE BY ROCKPOOL,7 ALFRED PLACE,MELBOURNE,3000,"LEVEL 2, CLELAND BOND BUILDING                     33 PLAYFAIR STREET",THE ROCKS NSW,31916937,2000
MELBOURNE CITY COUNCIL,HOTEL GRAND CHANCELLOR (MELBOURNE) PTY LTD,General Licence,HOTEL GRAND CHANCELLOR,131-137 LONSDALE STREET,MELBOURNE,3000,131-137 LONSDALE STREET,MELBOURNE,31917056,3000
MELBOURNE CITY COUNCIL,RYDGES HOTELS LTD,Late night (general) Licence,RYDGES MELBOURNE,186 EXHIBITION STREET,MELBOURNE,3000,186 EXHIBITION STREET,MELBOURNE,31917098,3000
MELBOURNE CITY COUNCIL,PAN E VIN GROUP PTY LTD,Late night (general) Licence,GEDDES LANE BALLROOM,46 KING STREET,MELBOURNE,3000,"LEVEL 27, RIALTO NORTH TOWER                       525 COLLINS STREET",MELBOURNE,31917161,3000
MELBOURNE CITY COUNCIL,MOWLA PTY LTD R W MARKLAS (NOMINEE),Late night (general) Licence,HOTEL SOFITEL MELBOURNE,25 COLLINS STREET,MELBOURNE,3000,25 COLLINS STREET,MELBOURNE,31917218,3000
MELBOURNE CITY COUNCIL,SB&G (RIALTO) HOTEL PTY LTD,General Licence,INTERCONTINENTAL MELBOURNE THE RIALTO,495 COLLINS STREET,MELBOURNE,3000,"LEVEL 5, 171 COLLINS STREET",MELBOURNE,31917250,3000
MELBOURNE CITY COUNCIL,SHERLOCK HOLMES ON COLLINS PTY LTD,Late night (general) Licence,THE SHERLOCK HOLMES INN,A F T DELFIN HOUSE BASEMENT                        415 COLLINS STREET,MELBOURNE,3000,A F T DELFIN HOUSE BASEMENT                        415 COLLINS STREET,MELBOURNE,31917284,3000
MELBOURNE CITY COUNCIL,FURRY MEATBALL PTY LTD,Late night (general) Licence,THE CARLTON HOTEL,197 BOURKE STREET,MELBOURNE,3000,1ST FLOOR & PART OF 2ND FLOOR                      197 BOURKE STREET,MELBOURNE,31917307,3000
MELBOURNE CITY COUNCIL,G H OPERATIONS PTY LTD,Late night (general) Licence,GRAND HYATT MELBOURNE,123 COLLINS STREET,MELBOURNE,3000,123 COLLINS STREET,MELBOURNE,31917315,3000
MELBOURNE CITY COUNCIL,SPEERTILL PTY LTD,General Licence,FOODHALL DAVID JONES,LOWER GROUND FLOOR                                 299-307 BOURKE STREET,MELBOURNE,3000,DAVID JONES LTD (ATTN: COMPANY SECRETARY)          GPO BOX 503,SYDNEY,31920041,2001
MELBOURNE CITY COUNCIL,THE ROYAL MELBOURNE HOTEL PTY LTD,Late night (general) Licence,THE ROYAL MELBOURNE HOTEL,621-629 BOURKE STREET,MELBOURNE,3000,621-629 BOURKE STREET,MELBOURNE,31920075,3000
MELBOURNE CITY COUNCIL,THE MILL-HOUSE BAR PTY LTD,Late night (general) Licence,THE MILL-HOUSE BAR,277-279 FLINDERS LANE,MELBOURNE,3000,"C/- WAKE UP!                                       SYDNEY CENTRAL, 509 PITT STREET",SYDNEY NSW,31920229,2000
MELBOURNE CITY COUNCIL,PRINCESS THEATRE HOLDINGS PTY LTD,Late night (general) Licence,PRINCESS THEATRE,163-179 SPRING STREET,MELBOURNE,3000,LEVEL 1                                            162 COLLINS STREET,MELBOURNE,31920245,3000
MELBOURNE CITY COUNCIL,KAUR JAGJEET,General Licence,PIPA RESTAURANT,18 BOURKE STREET,MELBOURNE,3000,18 BOURKE STREET,MELBOURNE,31920253,3000
MELBOURNE CITY COUNCIL,MJOLNER MELBOURNE PTY LTD,Late night (general) Licence,MJOLNER MELBOURNE,GROUND FLOOR & BASEMENT                            106-112 HARDWARE LANE,MELBOURNE,3000,106-112 HARDWARE LANE,MELBOURNE,31920287,3000
MELBOURNE CITY COUNCIL,BORSATO E MERRIDEN PTY LTD,General Licence,CATERINA'S CUCINA E' BAR,BASEMENT                                           221 QUEEN STREET,MELBOURNE,3000,BASEMENT                                           221 QUEEN STREET,MELBOURNE,31920334,3000
MELBOURNE CITY COUNCIL,SCHNAPSIDEE PTY LTD,Late night (general) Licence,THE CHARLES DICKENS TAVERN MELBOURNE,"BASEMENT BUILDING ""C""                              290 COLLINS STREET",MELBOURNE,3000,141 GRAHAM ROAD,VIEWBANK,31920392,3084
MELBOURNE CITY COUNCIL,SHOWGIRLS BAR 20 PTY LTD,Late night (general) Licence,SHOWGIRLS BAR 20,193-195 KING STREET,MELBOURNE,3000,"LEVEL 2, 428 LITTLE BOURKE STREET",melbourne,31920423,3000
MELBOURNE CITY COUNCIL,PARMA (AUST) PTY LTD,General Licence,MRS PARMA'S,19-25 LITTLE BOURKE STREET,MELBOURNE,3000,19-25 LITTLE BOURKE STREET,MELBOURNE,31920512,3000
MELBOURNE CITY COUNCIL,ICONIC HOTELS GROUP PTY LTD,Late night (general) Licence,ADELPHI HOTEL,187 FLINDERS LANE,MELBOURNE,3000,LEVEL 2                                            187 FLINDERS LANE,MELBOURNE,31920520,3000
MELBOURNE CITY COUNCIL,RED 13 PTY LTD,Late night (general) Licence,GOOD GAME EASY,93-95 QUEEN STREET,MELBOURNE,3000,93-95 QUEEN STREET,MELBOURNE,31920570,3000
MELBOURNE CITY COUNCIL,KAUR JAGJEET,General Licence,RED PEPPER INDIAN RESTAURANT & BAR,14 BOURKE STREET,MELBOURNE,3000,14 BOURKE STREET,MELBOURNE,31920596,3000
MELBOURNE CITY COUNCIL,SAVILLE HOTEL GROUP PTY LTD,General Licence,THE TERRACE ON EXHIBITION,333 EXHIBITION STREET,MELBOURNE,3000,PO BOX 8061,GOLD COAST MAIL CENTRE,31920601,9726
MELBOURNE CITY COUNCIL,NANDO'S AUSTRALIA PTY LTD,General Licence,NANDO'S,400 LITTLE BOURKE STREET,MELBOURNE,3000,40 MOLLISON ST,ABBOTSFORD,31920677,3067
MELBOURNE CITY COUNCIL,9 POINTS ENTERTAINMENT PTY LTD,Late night (general) Licence,9 POINTS ENTERTAINMENT,1ST FLOOR                                          18 MARKET LANE,MELBOURNE,3000,83 TIVERTON DRIVE,MULGRAVE,31920758,3170
MELBOURNE CITY COUNCIL,DAZELINE PTY LTD,Late night (general) Licence,SHANGHAI CLUB RESTAURANT,"GROUND, 1ST & 2ND FLOOR                            242-244 LITTLE BOURKE STREET",MELBOURNE,3000,G P O BOX 5434CC,MELBOURNE,31920766,3001
MELBOURNE CITY COUNCIL,TEMPLE HOTELS PTY LTD,Late night (general) Licence,MAGIC MOUNTAIN SALOON,62 LITTLE COLLINS STREET,MELBOURNE,3000,62 LITTLE COLLINS STREET,MELBOURNE,31920821,3000
MELBOURNE CITY COUNCIL,BAROQ HOUSE TRADING PTY LTD,Late night (general) Licence,BAROQ HOUSE,9-13 DREWERY LANE,MELBOURNE,3000,"LEVEL 2, 2 DREWERY PLACE",MELBOURNE,31920902,3000
MELBOURNE CITY COUNCIL,AURUM RISE PTY LTD,Late night (general) Licence,GOLDEN NUGGET,117 LONSDALE STREET,MELBOURNE,3000,"SUITE 1, L1, 38 MARGARET STREET",MOONEE PONDS,31920944,3039
MELBOURNE CITY COUNCIL,JJ INTERNATIONAL INVESTMENTS PTY LTD,Late night (general) Licence,MELBOURNE JOOMAK,BASEMENT                                           407-409 SWANSTON STREET,MELBOURNE,3000,407 SWANSTON STREET,MELBOURNE,31920994,3000
MELBOURNE CITY COUNCIL,ALA GROUP PTY LTD,Late night (general) Licence,CLUB AERI,FIRST & SECOND FLOOR                               193-195 LITTLE BOURKE STREET,MELBOURNE,3000,FIRST & SECOND FLOOR                               193-195 LITTLE BOURKE STREET,MELBOURNE,31921005,3000
MELBOURNE CITY COUNCIL,MAX WATT'S OPERATING PTY LTD,Late night (general) Licence,MAX WATT'S IN MELBOURNE,125 SWANSTON STREET,MELBOURNE,3000,3 BRIDGES STREET,GLEN IRIS,31921013,3146
MELBOURNE CITY COUNCIL,TSAFANOS ANTHONY,Late night (general) Licence,INSIGNIA ON FLINDERS,502 FLINDERS STREET,MELBOURNE,3000,502 FLINDERS STREET,MELBOURNE,31921110,3000
MELBOURNE CITY COUNCIL,O'KANE HOTELS PTY LTD,Late night (general) Licence,COOPERS INN,280-282 EXHIBITION STREET,MELBOURNE,3000,280-282 EXHIBITION STREET,MELBOURNE,31921225,3000
MELBOURNE CITY COUNCIL,ANGELS 12 PTY LTD,Late night (general) Licence,ANGEL MUSIC BAR,12 BOURKE STREET,MELBOURNE,3000,12 BOURKE STREET,MELBOURNE,31921233,3000
MELBOURNE CITY COUNCIL,A.T.MANAGEMENT PTY LTD,General Licence,ATHENAEUM THEATRE,188 COLLINS STREET,MELBOURNE,3000,188 COLLINS STREET,MELBOURNE,31921437,3000
MELBOURNE CITY COUNCIL,HICKS HOSPITALITY PTY LTD,Late night (general) Licence,INDU & MEJICO,86-88 COLLINS STREET,MELBOURNE,3000,86A COLLINS ST,MELBOURNE,31921445,3000
MELBOURNE CITY COUNCIL,CENTREFOLD LOUNGE PTY LTD,Late night (general) Licence,CENTREFOLD LOUNGE,22-24 KING STREET,MELBOURNE,3000,601 LONSDALE STREET,MELBOURNE,31921568,3000
MELBOURNE CITY COUNCIL,THE MEN'S GALLERY AUSTRALIA PTY LTD,Late night (general) Licence,THE MEN'S GALLERY,601 LONSDALE STREET,MELBOURNE,3000,601 LONSDALE STREET,MELBOURNE,31921607,3000
MELBOURNE CITY COUNCIL,128 BOURKE ST PTY LTD,Late night (general) Licence,BOURKE HILL'S WELCOME STRANGER,128 BOURKE STREET,MELBOURNE,3000,128 BOURKE STREET,MELBOURNE,31921623,3000
MELBOURNE CITY COUNCIL,URBAN PURVEYOR GROUP PTY LTD,Late night (general) Licence,SAKE RESTAURANT AND BAR,121 FLINDERS LANE,MELBOURNE,3000,"LEVEL 2, CLELAND BOND BUILDING                     33 PLAYFAIR STREET",THE ROCKS,31921657,2000
MELBOURNE CITY COUNCIL,VUE GROUP PTY LTD,Late night (general) Licence,VUE DE MONDE,LEVEL 55 RIALTO TOWER                              525 COLLINS STREET,MELBOURNE,3000,"LEVEL 4, RIALTO NORTH TOWER                        525 COLLINS STREET",MELBOURNE,31921720,3000
MELBOURNE CITY COUNCIL,GRUPPO PIU 39 PTY LTD,General Licence,+39 PIZZERIA E ANTIPASTERIA,362-364 LITTLE BOURKE STREET,MELBOURNE,3000,"C/- OXFORD ACCOUNTING GROUP                        SUITE 5, LEVEL 2, 902-912 MOUNT ALEXANDER ROAD",ESSENDON,31921885,3040
MELBOURNE CITY COUNCIL,HEARTBREAKER BAR PTY LTD,Late night (general) Licence,HEARTBREAKER BAR,234 RUSSELL STREET,MELBOURNE,3000,LEVEL 1                                            150-156 GERTRUDE STREET,FITZROY,31921966,3065
MELBOURNE CITY COUNCIL,NEAR 101 PTY LTD,Late night (general) Licence,GARDEN STATE HOTEL,95-97 FLINDERS LANE,MELBOURNE,3000,292 CHURCH STREET,RICHMOND,31921974,3121
MELBOURNE CITY COUNCIL,IL BACARO PTY LTD,General Licence,IL BACARO AUSTRALIA,SHOPS 4 & 5                                        166-170 LITTLE COLLINS STREET,MELBOURNE,3000,SHOPS 4 & 5                                        166-170 LITTLE COLLINS STREET,MELBOURNE,31921982,3000
MELBOURNE CITY COUNCIL,GNOCCHI PTY LTD,Late night (general) Licence,BECCO,11-25 CROSSLEY STREET,MELBOURNE,3000,11-25 CROSSLEY STREET,MELBOURNE,31922221,3000
MELBOURNE CITY COUNCIL,D.H ENTERPRISE HOLDINGS PTY LTD,General Licence,PARAMOUNT CHINE EXPRESS,"SHOPS 9,10 & FOOD COURT AREA                       108 BOURKE STREET",MELBOURNE,3000,"SHOPS 9,10 & FOOD COURT AREA                       108 BOURKE STREET",MELBOURNE,31922378,3000
MELBOURNE CITY COUNCIL,NEINIC PTY LTD,General Licence,MEATMAIDEN,"SUITE B.01, 195 LITTLE COLLINS STREET",MELBOURNE,3000,"SUITE B.01, 195 LITTLE COLLINS STREET",MELBOURNE,31922386,3000
MELBOURNE CITY COUNCIL,TMG FLINDERS PTY LTD,General Licence,HOTEL LINDRUM,26 FLINDERS STREET,MELBOURNE,3000,26 FLINDERS STREET,MELBOURNE,31950177,3000
MELBOURNE CITY COUNCIL,TARAGON ENTERPRISES PTY LTD,General Licence,EZARD AT ADELPHI,187 FLINDERS LANE (LEVEL 1),MELBOURNE,3000,187 FLINDERS LANE (LEVEL 1),MELBOURNE,31950193,3000
MELBOURNE CITY COUNCIL,CAUSEWAY INN PTY LTD,General Licence,HOTEL CAUSEWAY,275 LITTLE COLLINS STREET,MELBOURNE,3000,GPO BOX 4710,MELBOURNE,31950347,3001
MELBOURNE CITY COUNCIL,EXCH PTY LTD,Late night (general) Licence,THE KING HOTEL MELBOURNE,120 KING STREET,MELBOURNE,3000,POBOX 2210,ST KILDA WEST,31950410,3182
MELBOURNE CITY COUNCIL,NAM BROTHERS PTY LTD,General Licence,MELBOURNE MAHN DOO,299 QUEEN STREET,MELBOURNE,3000,4 KAREN STREET,BOX HILL NORTH,31950541,3129
