F10,F11,F2,F3,F4,F5,F6,F7,F8,Current Victorian Liquor Licences for Metro & CBD as of 31/12/2020,F9
MELBOURNE CITY COUNCIL,AUN JHI CHAN,Restaurant and cafe Licence,WARRA WARRA KITCHEN,SHOP 19 & 20 TIVOLI ARCADE                         235-251 BOURKE STREET,MELBOURNE,3000,SHOP 19 & 20 TIVOLI ARCADE                         235-251 BOURKE STREET,MELBOURNE,32311813,3000
MELBOURNE CITY COUNCIL,MAYMADE PTY LTD,Restaurant and cafe Licence,THIA TIDE,171 BOURKE STREET,MELBOURNE,3000,139 THOMAS STREET,BRIGHTON EAST,32312063,3187
MELBOURNE CITY COUNCIL,TRINAGE PTY LTD,Restaurant and cafe Licence,KILLINEY KOPITIAM BOURKE STREET,"SHOP 11, 108 BOURKE STREET",MELBOURNE,3000,"SHOP 11, 108 BOURKE STREET",MELBOURNE,32312291,3000
MELBOURNE CITY COUNCIL,MELBOURNE MEAT PTY LTD,Restaurant and cafe Licence,G2 KOREAN BBQ,301 ELIZABETH STREET,MELBOURNE,3000,301 ELIZABETH STREET,MELBOURNE,32312437,3000
MELBOURNE CITY COUNCIL,IL POMODORO FED SQUARE PTY LTD,Restaurant and cafe Licence,IL POMODORO FED SQUARE,TENANCY T122 FEDERATION SQUARE                     CNR FLINDERS & SWANSTON STREETS,MELBOURNE,3000,ATT: DAVID ELIA                                    PO BOX 601,ESSENDON,32312542,3040
MELBOURNE CITY COUNCIL,BONDI BEACH PTY LTD,Restaurant and cafe Licence,TONKA BAR AND RESTAURANT,LEVEL 1                                            96 FLINDERS STREET,MELBOURNE,3000,SUITE 16                                           45 COLLINS STREET,MELBOURNE,32312631,3000
MELBOURNE CITY COUNCIL,GAMI CHICKEN PTY LTD,Restaurant and cafe Licence,GAMI CHICKEN,BASEMENT 26 KING STREET,MELBOURNE,3000,LEVEL 5                                            111 CECIL ST,SOUTH MELBOURNE,32312657,3205
MELBOURNE CITY COUNCIL,EMERALD RESTAURANT GROUP PTY LTD,Restaurant and cafe Licence,B CHURRASCO,61 A'BECKETT STREET,MELBOURNE,3000,"UNIT 2302, 68 LATROBE STREET",MELBOURNE,32312712,3000
MELBOURNE CITY COUNCIL,GRILL'D PTY LTD,Restaurant and cafe Licence,GRILL'D,LG CS 08 SOUTHERN CROSS STATION                    SPENCER STREET,MELBOURNE,3000,LEVEL 2                                            4-10 AMSTERDAM ST,RICHMOND,32312827,3121
MELBOURNE CITY COUNCIL,LI YOUDONG,Restaurant and cafe Licence,NEW SWANSTON CHINA EXPRESS,306 FLINDERS LANE,MELBOURNE,3000,306 FLINDERS LANE,MELBOURNE,32312843,3000
MELBOURNE CITY COUNCIL,TIGERGROWTH AUSTRALIA PTY LIMITED,Restaurant and cafe Licence,BIANG BIANG ELIZABETH,417-419 ELIZABETH ST,MELBOURNE,3000,PO BOX 4011,BOX HILL SOUTH,32312869,3128
MELBOURNE CITY COUNCIL,WHITE ANDREW,Restaurant and cafe Licence,CAFFE E TORTA,314 LITTLE COLLINS STREET,MELBOURNE,3000,314 LITTLE COLLINS STREET,MELBOURNE,32312877,3000
MELBOURNE CITY COUNCIL,RV MELB PTY LTD,On-Premises Licence,HUXTA-BURGER,T11 FULHAM PLACE                                   PART OF 357 COLLINS STREET,MELBOURNE,3000,3 DUBLIN STREET,OAKLEIGH EAST,32312908,3166
MELBOURNE CITY COUNCIL,ZARRIN PTY LTD,Restaurant and cafe Licence,DOSIROCK,"SHOP 1, 280 KING STREET",MELBOURNE,3000,"SHOP 1, 280 KING STREET",MELBOURNE,32313035,3000
MELBOURNE CITY COUNCIL,RYDABA PTY LTD,Restaurant and cafe Licence,VAPIANO,"GROUND FLOOR & LOWER GROUND FLOOR                  T3, T4 & T5/357 COLLINS STREET",MELBOURNE,3000,PO BOX 480,PADDINGTON QLD,32313069,4064
PORT PHILLIP CITY COUNCIL,S-INVESTMENTS PTY LTD,Restaurant and cafe Licence,CAFE SAFI,"GROUND FLOOR, 484 ST KILDA ROAD",MELBOURNE,3004,"GROUND FLOOR, 484 ST KILDA ROAD",MELBOURNE,32313310,3004
MELBOURNE CITY COUNCIL,DELICIOUS ASIAN CUISINES & PHO PTY LTD,Restaurant and cafe Licence,DELICIOUS ASIAN CUISINES & PHO,"SHOP 2, 551 LITTLE LONSDALE STREET",MELBOURNE,3000,"SHOP 2, 551 LITTLE LONSDALE STREET",MELBOURNE,32313336,3000
MELBOURNE CITY COUNCIL,HANDRAS PETER,Restaurant and cafe Licence,PURPLE PEANUTS JAPANESE CAFE,SHOP G20                                           620 COLLINS STREET,MELBOURNE,3000,401/139 CHETWYND STREET,NORTH MELBOURNE,32313352,3051
MELBOURNE CITY COUNCIL,380 ESN PTY LTD,Restaurant and cafe Licence,,380 ELIZABETH STREET,MELBOURNE,3000,380 ELIZABETH STREET,MELBOURNE,32313548,3000
MELBOURNE CITY COUNCIL,HEALEYS LANE VENTURE PTY LTD,Restaurant and cafe Licence,MR NICE GUY THAI CAFE,SHOP J                                             535 LITTLE LONSDALE STREET,MELBOURNE,3000,SHOP J                                             535 LITTLE LONSDALE STREET,MELBOURNE,32313629,3000
MELBOURNE CITY COUNCIL,GOLDEN 5 PTY LTD,Restaurant and cafe Licence,SURI SURI,SHOP 1                                             601 LITTLE COLLINS STREET,MELBOURNE,3000,SHOP 1                                             601 LITTLE COLLINS STREET,MELBOURNE,32313653,3000
MELBOURNE CITY COUNCIL,5 DEGREES COORDINATE PTY LTD,Restaurant and cafe Licence,MENSOUSAI MUGEN,11 BLIGH PLACE,MELBOURNE,3000,11 BLIGH PLACE,MELBOURNE,32313700,3000
MELBOURNE CITY COUNCIL,BIG BOY BBQ PTY LTD,Restaurant and cafe Licence,BIG BOY BBQ HARDWARE LANE,SHOP 2                                             27-31 HARDWARE LANE,MELBOURNE,3000,PO BOX 348,CAULFIELD SOUTH,32313726,3162
MELBOURNE CITY COUNCIL,PARAS NOMINEES PTY LTD,Restaurant and cafe Licence,IN A RUSH FED SQUARE,"TENANCY 3B, ATRIUM FEDERATION SQUARE               2-20 SWANSTON STREET",MELBOURNE,3000,"TENANCY 3B, ATRIUM FEDERATION SQUARE               2-20 SWANSTON STREET",MELBOURNE,32313865,3000
MELBOURNE CITY COUNCIL,LITTLE RAMEN SHOP PTY LTD,Restaurant and cafe Licence,LITTLE RAMEN BAR,"SHOP 5, 346 LITTLE BOURKE STREET",MELBOURNE,3000,280 ROSSMOYNE STREET,THORNBURY,32314015,3071
MELBOURNE CITY COUNCIL,IM.OZ INTERNATIONAL PTY LTD,Restaurant and cafe Licence,,"SHOP 2, 212 KING STREET",MELBOURNE,3000,"SHOP 2, 212 KING STREET",MELBOURNE,32314730,3000
MELBOURNE CITY COUNCIL,WANG & SHEN DEVELOPMENT PTY LTD,Restaurant and cafe Licence,MR. FUSION,"SHOP 2-3, 540 LITTLE COLLINS STREET",MELBOURNE,3000,"702-1, ELLAND AVE, BOXHILL",BOXHILL,32315304,3128
MELBOURNE CITY COUNCIL,EDIRISINGHE ANURUDDHA OUGUSTUS,Restaurant and cafe Licence,EJ'S CATERING,44 SPENCER STREET,MELBOURNE,3000,11 VEARS ROAD,ASHBURTON,32315362,3147
MELBOURNE CITY COUNCIL,TONE GROUP PTY LTD,Restaurant and cafe Licence,CHICK-IN,"SHOP G23, 620 COLLINS STREET",MELBOURNE,3000,"SHOP G23, 620 COLLINS STREET",MELBOURNE,32315566,3000
MELBOURNE CITY COUNCIL,ROASTER KING PTY LTD,Restaurant and cafe Licence,ROASTER KING,191 RUSSELL STREET,MELBOURNE,3000,7 FLAMINGO DRIVE,wantirna south,32315582,3152
MELBOURNE CITY COUNCIL,HUANG CIN PENG,Restaurant and cafe Licence,YAMATO JAPANESE RESTAURANT,28 CORRS LANE,MELBOURNE,3000,28 CORRS LANE,MELBOURNE,32315914,3000
MELBOURNE CITY COUNCIL,DINER ON FRANKLYN PTY LTD,Restaurant and cafe Licence,DINER ON FRANKLIN,1 / 245 FRANKLIN STREET,MELBOURNE,3000,1 / 245 FRANKLIN STREET,MELBOURNE,32316059,3000
MELBOURNE CITY COUNCIL,NGUYEN GIANG,Restaurant and cafe Licence,PHO FLINDER PLUS,"SHOP 2, 294 FLINDERS STREET",MELBOURNE,3000,"SHOP 2, 294 FLINDERS STREET",MELBOURNE,32316148,3000
MELBOURNE CITY COUNCIL,BON BON BOY- SPENCER STREET PTY LTD,Restaurant and cafe Licence,BON BON BOY- SPENCER STREET PTY LTD,220-240 SPENCER STREET,MELBOURNE,3000,656 LITTLE BOURKE STREET,MELBOURNE,32316889,3000
MELBOURNE CITY COUNCIL,PACIFIC BBQ CAFE PTY LTD,Restaurant and cafe Licence,PACIFIC BBQ CAFE,213-215 LONSDALE STREET,MELBOURNE,3000,213-215 LONSDALE STREET,MELBOURNE,32317005,3000
MELBOURNE CITY COUNCIL,SIMPLY ST JAMES PTY LTD,Restaurant and cafe Licence,SIMPLY SPANISH,10/555 BOURKE STREET,MELBOURNE,3000,PO BOX 544,BENTLEIGH,32317097,3204
MELBOURNE CITY COUNCIL,WING LOONG PTY LTD,Restaurant and cafe Licence,WING LOONG RESTAURANT,510-512 ELIZABETH STREET,MELBOURNE,3000,510-512 ELIZABETH STREET,MELBOURNE,32317275,3000
MELBOURNE CITY COUNCIL,HUNTINGZONE CAPITAL PTY LTD,Restaurant and cafe Licence,DECENNIUM AUSTRALIA,12 EQUITABLE PLACE,MELBOURNE,3000,12 EQUITABLE PLACE,MELBOURNE,32317364,3000
MELBOURNE CITY COUNCIL,MONAKA FACTORY PTY LTD,On-Premises Licence,DONBURI & BBQ,SHOP 4 FOOD COURT                                  108 BOURKE STREET,MELBOURNE,3000,SHOP 4 LWGROURND 108 BOURKE ST,MELBOURNE,32317453,3000
MELBOURNE CITY COUNCIL,THE BUTCHERS DINER PTY LTD,Restaurant and cafe Licence,THE BUTCHERS DINER,10 BOURKE STREET,MELBOURNE,3000,REAR OF 157 SPRING STREET,MELBOURNE,32317819,3000
MELBOURNE CITY COUNCIL,GYOZA DOURAKU PTY LTD,Restaurant and cafe Licence,GYOZA GYOZA,115-117 LITTLE BOURKE STREET,MELBOURNE,3000,115-117 BOURKE STREET,MELBOURNE,32317827,3000
MELBOURNE CITY COUNCIL,SHI MIN,Restaurant and cafe Licence,MOMOTEA,64 LA TROBE STREET,MELBOURNE,3000,16 PAYNE STREET,GLEN IRIS,32318077,3146
MELBOURNE CITY COUNCIL,K-FOOD PTY LTD,Restaurant and cafe Licence,ORIENTAL SPOON ON ELIZABETH,291 ELIZABETH STREET,MELBOURNE,3000,291 ELIZABETH STREET,MELBOURNE,32318239,3000
MELBOURNE CITY COUNCIL,VAULTS 15-19 PTY LTD,On-Premises Licence,PILGRIM BAR,"VAULTS 15-19 FEDERATION WHARF,                     FEDERATION SQUARE",MELBOURNE,3000,"BLUEROCK ACCOUNTING ATTN: STEPHANIE TODIO          LEVEL 16, 414 LA TROBE STREET",MELBOURNE,32318289,3000
MELBOURNE CITY COUNCIL,SPIN COFFEE PTY LTD,Restaurant and cafe Licence,SPIN COFFEE,TENANCY 11                                         535 - 555 BOURKE STREET,MELBOURNE,3000,TENANCY 17                                         11/555 BOURKE STREET,MELBOURNE,32318629,3000
MELBOURNE CITY COUNCIL,RLIMANSYAH PTY LTD,Restaurant and cafe Licence,CHERRY & TWIGS,SHOP 1B/555 FLINDERS LANE,MELBOURNE,3000,SHOP 1B/555 FLINDERS LANE,MELBOURNE,32318784,3000
MELBOURNE CITY COUNCIL,GRV HOSPITALITY PTY LTD,Restaurant and cafe Licence,OPERATOR25,G03/25 WILLS STREET,MELBOURNE,3000,G03/25 WILLS STREET,MELBOURNE,32318815,3000
MELBOURNE CITY COUNCIL,DEEP BLUE INTERNATIONAL PTY LTD,Restaurant and cafe Licence,NABE ONE,"TENANCY 2-042, LEVEL 2                             EMPORIUM MELBOURNE, LONSDALE STREET",MELBOURNE,3000,"SHOP 2042, EMPORIUM MELBOURNE                      295 LONSDALE STREET",MELBOURNE,32318831,3000
MELBOURNE CITY COUNCIL,M&L TRADING PTY LTD,Restaurant and cafe Licence,PHO NOM,"TENANCY LG - 033, LOWER GROUND LEVEL               EMPORIUM MELBOURNE, LONSDALE STREET",MELBOURNE,3000,30 GORDON ST,FAIRFIELD,32318849,3078
MELBOURNE CITY COUNCIL,SUPER NORMAL (VIC) PTY LTD,Restaurant and cafe Licence,SUPER NORMAL,171 COLLINS STREET,MELBOURNE,3000,171 COLLINS STREET,MELBOURNE,32318873,3000
MELBOURNE CITY COUNCIL,LU XIN INTERNATIONAL TRADING PTY LTD,Restaurant and cafe Licence,TOKYO POP,"TENANCY LG-008, LOWER GROUND LEVEL                 EMPORIUM MELBOURNE, LONSDALE STREET",MELBOURNE,3000,"TENANCY LG-008, LOWER GROUND LEVEL                 EMPORIUM MELBOURNE, LONSDALE STREET",MELBOURNE,32319099,3000
MELBOURNE CITY COUNCIL,GOLDEN WORLD INTERNATIONAL PTY LTD,Restaurant and cafe Licence,DUMPLINGS PLUS,"TENANCY LG-031, LOWER GROUND LEVEL                 EMPORIUM MELBOURNE, LONSDALE STREET",MELBOURNE,3000,"TENANCY LG-031, LOWER GROUND LEVEL                 EMPORIUM MELBOURNE, LONSDALE STREET",MELBOURNE,32319104,3000
