Asset Clas,Asset Subt,Asset Type,Descriptio,Geo Point 2D,Geo Shape,Mcc Id,Model Desc,Model No,Objectid,Prop Id,Roadseg Id,Str Id,Addressp 1,Addresspt,Addresspt1
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.81888176511253, 144.95412220092587","{""coordinates"": [144.95412220092587, -37.81888176511253], ""type"": ""Point""}",1246971,Sign - Public Transport 1 Panel,P.16,21204,0,20071,1246971,58,579287,14.34503015
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.815867567322975, 144.95824209522883","{""coordinates"": [144.95824209522883, -37.815867567322975], ""type"": ""Point""}",1236808,Sign - Public Transport 1 Panel,P.16,21874,0,20183,1236808,94,548056,63.64203904
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.823554040273095, 144.96766430983428","{""coordinates"": [144.96766430983428, -37.823554040273095], ""type"": ""Point""}",1239533,Sign - Public Transport 1 Panel,P.16,22281,0,22080,1239533,218,567779,67.68289635
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.85056307604563, 144.98401830869636","{""coordinates"": [144.98401830869636, -37.85056307604563], ""type"": ""Point""}",1255226,Sign - Public Transport 1 Panel,P.16,22793,0,22479,1255226,0,0,0
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 1,"-37.79443959174042, 144.9295031556217","{""coordinates"": [144.9295031556217, -37.79443959174042], ""type"": ""Point""}",1577042,Sign - Public Transport 1 Panel,P.16,23024,0,21693,1577042,299,106320,2.82667366
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.845617997463314, 144.98485133091194","{""coordinates"": [144.98485133091194, -37.845617997463314], ""type"": ""Point""}",1254948,Sign - Public Transport 1 Panel,P.16,23114,0,22308,1254948,267,645774,19.56622421
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.82267609025617, 144.9360672354294","{""coordinates"": [144.9360672354294, -37.82267609025617], ""type"": ""Point""}",1257292,Sign - Public Transport 1 Panel,P.16,23554,627016,0,1257292,345,596486,6.57193564
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.78840737180099, 144.94100543358434","{""coordinates"": [144.94100543358434, -37.78840737180099], ""type"": ""Point""}",1243923,Sign - Public Transport 1 Panel,P.16,24568,0,22426,1243923,22,101994,34.55825279
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.82158676896336, 144.9299851550984","{""coordinates"": [144.9299851550984, -37.82158676896336], ""type"": ""Point""}",1245224,Sign - Public Transport 1 Panel,P.16,25432,0,22158,1245224,200,110520,6.0340097
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 1,"-37.81807935853138, 144.96572070652604","{""coordinates"": [144.96572070652604, -37.81807935853138], ""type"": ""Point""}",1560832,Sign - Public Transport 1 Panel,P.16,26488,0,20214,1560832,126,604383,28.00392951
