Block Id,Census Year,Clue Small Area,Commercial Accommodation,Common Area,Community Use,Educational Research,Entertainment Recreation Indoor,Equipment Installation,Hospital Clinic,House Townhouse,Institutional Accommodation,Manufacturing,Office,Park Reserve,Parking Commercial Covered,Parking Commercial Uncovered,Parking Private Covered,Parking Private Uncovered,Performances Conferences Ceremonies,Private Outdoor Space,Public Display Area,Residential Apartment,Retail Cars,Retail Shop,Retail Showroom,Retail Stall,Sports And Recreation Outdoor,Square Promenade,Storage,Student Accommodation,Total Jobs In Block,Transport,Transport Storage Uncovered,Unoccupied Under Construction,Unoccupied Under Demolition Condemned,Unoccupied Under Renovation,Unoccupied Undeveloped Site,Unoccupied Unused,Wholesale,Workshop Studio
114,2021,Melbourne (CBD),,0,0,,144,0,0,,0,0,47,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,299,0,0,,0,0,,0,0,0
125,2021,Melbourne (CBD),0,,,0,0,,0,0,0,0,,0,0,0,0,0,,,0,,0,,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
207,2021,Carlton,0,0,0,0,68,,,0,0,0,23,0,,0,,0,0,0,0,0,0,58,0,0,0,0,,,159,0,0,0,0,0,0,,0,0
209,2021,Carlton,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
213,2021,Carlton,0,,0,,0,,0,0,0,0,18,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
217,2021,Carlton,0,0,0,0,174,0,25,0,0,0,40,0,,0,,0,,0,0,0,0,244,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,3
223,2021,Carlton,,0,0,0,,0,,0,0,0,28,0,0,0,,0,0,0,0,0,0,18,0,0,0,0,,0,63,0,0,0,0,0,0,0,0,
225,2021,Carlton,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,37,0,0,0,0,0,0,,0,0
226,2021,Carlton,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,,0,0
227,2021,Carlton,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
231,2021,Carlton,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
239,2021,Carlton,0,0,0,538,,0,57,,0,0,167,0,0,0,0,,0,,0,,,,0,0,0,0,,,773,0,0,0,0,0,0,0,0,0
240,2021,Carlton,0,0,0,529,20,,0,,0,0,81,0,0,0,,,0,0,0,,0,,0,0,0,0,0,,640,0,0,0,0,0,0,0,0,0
250,2021,Carlton,0,,0,0,,0,0,0,0,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0
251,2021,Carlton,0,0,0,0,,0,,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,0
256,2021,Carlton,,0,,0,10,,0,0,0,0,263,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,5,332,0,0,,0,0,0,0,0,0
260,2021,Carlton,0,0,0,0,15,,0,,,0,29,0,0,0,0,0,0,0,,0,0,35,,0,0,0,,,110,0,0,0,0,0,0,0,0,0
261,2021,Carlton,0,0,0,0,,0,0,0,0,0,216,0,0,0,,0,,0,0,0,0,105,0,0,0,0,,0,345,0,0,0,0,0,0,0,0,
264,2021,Carlton,0,0,0,,24,0,0,,0,0,86,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,0,175,0,0,,0,0,,0,0,0
266,2021,Carlton,0,0,0,234,22,,0,,0,0,53,0,0,0,,0,,0,0,0,0,,0,0,0,0,,,343,0,0,0,0,,0,0,0,19
272,2021,Parkville,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,81,0,0,0,0,0,0,0,0,0
302,2021,North Melbourne,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
310,2021,North Melbourne,0,,0,0,0,0,0,0,0,,58,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,142,0,0,0,0,0,0,,62,
312,2021,North Melbourne,0,,0,0,0,,0,0,0,0,82,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,89,0,0,0,0,0,0,0,,0
320,2021,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
325,2021,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,2021,North Melbourne,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,15,0,0,0,0,0,0,15,0,0,0,,0,0,0,0,0
332,2021,North Melbourne,0,0,0,0,0,0,0,0,0,,10,0,0,0,,0,0,0,0,,0,0,0,0,0,0,2,0,25,0,0,0,0,0,,0,0,12
333,2021,North Melbourne,0,0,0,,12,0,0,0,0,0,76,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,122,0,0,,0,0,0,0,0,
335,2021,North Melbourne,0,0,0,,,0,0,0,0,,131,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,197,0,0,0,0,0,0,0,,
342,2021,North Melbourne,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,58,0,0,0,0,0,0,0,0,15
347,2021,North Melbourne,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,10,0,0,,0,0,,,0,0
354,2021,North Melbourne,,0,,0,73,0,,0,,0,140,0,0,0,0,,21,0,,0,0,92,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,
359,2021,North Melbourne,0,0,0,0,,,,0,0,0,63,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,81,0,0,0,0,0,0,0,0,0
360,2021,North Melbourne,0,0,0,,,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,14,0,0,0,0,0,0,50,0,0,0,0,0,0,0,,0
362,2021,North Melbourne,,0,0,,28,,,,0,0,156,0,0,0,,,,0,,0,,17,,0,0,0,,,396,0,0,0,0,0,,,0,
364,2021,North Melbourne,,0,0,0,,0,0,0,0,0,40,0,0,0,,0,0,0,0,,0,18,0,0,0,0,0,,65,0,0,0,0,0,0,,0,0
368,2021,North Melbourne,,0,0,0,0,0,0,0,0,,9,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,,0,
372,2021,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,2021,North Melbourne,0,0,0,0,,0,,,0,0,252,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,273,0,0,0,0,,0,0,0,0
